length,error_rate,strategy,samples,mean_share,standard_error,ci95_low,ci95_high,first30_mean_share
2,0.2,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.2,NegtiveCopycat,1000,0.23211111111111127,0.0024940245447939986,0.22722282300331503,0.2369993992189075,0.24166666666666667
2,0.2,NegtiveCopykitten,1000,0.3625277777777783,0.0034419516912683815,0.3557815524628923,0.3692740030926643,0.34722222222222227
2,0.2,Grudger,1000,0.0003333333333333333,0.0003333333333333425,0,0.0009866666666666845,0.01111111111111111
2,0.225,Random,1000,0.0,0.0,0,0.0,0.0
2,0.225,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.225,Cheater,1000,0.4051111111111109,0.0032382902217987794,0.39876406227638533,0.4114581599458365,0.4342592592592593
2,0.225,Copycat,1000,0.0,0.0,0,0.0,0.0
2,0.225,Copykitten,1000,0.0,0.0,0,0.0,0.0
2,0.225,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.225,NegtiveCopycat,1000,0.23022222222222227,0.0024366591222508903,0.22544637034261053,0.23499807410183401,0.2185185185185185
2,0.225,NegtiveCopykitten,1000,0.36466666666666675,0.003281020943512106,0.358235865617383,0.3710974677159505,0.34722222222222227
2,0.225,Grudger,1000,0.0,0.0,0,0.0,0.0
2,0.25,Random,1000,0.0,0.0,0,0.0,0.0
2,0.25,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.25,Cheater,1000,0.4048055555555556,0.00335723815869937,0.3982253687645048,0.41138574234660635,0.43148148148148147
2,0.25,Copycat,1000,0.0,0.0,0,0.0,0.0
2,0.25,Copykitten,1000,0.0,0.0,0,0.0,0.0
2,0.25,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.25,NegtiveCopycat,1000,0.22919444444444437,0.002428553563223693,0.22443447946052592,0.23395440942836282,0.2611111111111111
2,0.25,NegtiveCopykitten,1000,0.366,0.0032889455516706472,0.3595536667187255,0.37244633328127447,0.30740740740740746
2,0.25,Grudger,1000,0.0,0.0,0,0.0,0.0
2,0.275,Random,1000,0.0,0.0,0,0.0,0.0
2,0.275,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.275,Cheater,1000,0.4069999999999996,0.0033526596526488616,0.4004287870808078,0.41357121291919136,0.3953703703703704
2,0.275,Copycat,1000,0.0,0.0,0,0.0,0.0
2,0.275,Copykitten,1000,0.0,0.0,0,0.0,0.0
2,0.275,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.275,NegtiveCopycat,1000,0.23391666666666658,0.002448470253169264,0.22911766497045483,0.23871566836287833,0.24444444444444444
2,0.275,NegtiveCopykitten,1000,0.3590833333333334,0.00331615049525705,0.3525836783626296,0.36558298830403724,0.3601851851851852
2,0.275,Grudger,1000,0.0,0.0,0,0.0,0.0
2,0.3,Random,1000,0.0,0.0,0,0.0,0.0
2,0.3,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.3,Cheater,1000,0.3965833333333335,0.003430473741998177,0.3898596047990171,0.4033070618676499,0.3842592592592593
2,0.3,Copycat,1000,0.0,0.0,0,0.0,0.0
2,0.3,Copykitten,1000,0.0,0.0,0,0.0,0.0
2,0.3,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.3,NegtiveCopycat,1000,0.24019444444444477,0.002418098070493718,0.23545497222627707,0.24493391666261247,0.25277777777777777
2,0.3,NegtiveCopykitten,1000,0.3632222222222217,0.003316680681209971,0.35672152808705015,0.3697229163573933,0.362962962962963
2,0.3,Grudger,1000,0.0,0.0,0,0.0,0.0
2,0.325,Random,1000,0.0,0.0,0,0.0,0.0
2,0.325,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.325,Cheater,1000,0.3956944444444446,0.0033351141528197036,0.389157620704918,0.40223126818397126,0.4037037037037037
2,0.325,Copycat,1000,0.0,0.0,0,0.0,0.0
2,0.325,Copykitten,1000,0.0,0.0,0,0.0,0.0
2,0.325,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
